City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
96,khatanga,71.9667,102.5,-6.57,99,100,7.2,RU
97,qaanaaq,77.484,-69.3632,9.82,45,0,8.52,GL
98,cherdyn,60.403,56.4787,18.75,99,100,2.37,RU
99,swan hill,-35.3378,143.5544,67.51,35,0,5.01,AU
100,komsomolskiy,40.4272,71.7189,45.32,81,15,6.91,UZ
101,andenes,69.3143,16.1194,30.49,85,100,39.1,NO
102,ribeira grande,38.5167,-28.7,61.2,72,75,25.32,PT
103,knysna,-34.0363,23.0471,68.92,93,100,8.41,ZA
104,fernie,49.5,-115.0687,32.09,80,100,3.74,CA
105,tasiilaq,65.6145,-37.6368,32.16,96,78,4.65,GL
106,punta arenas,-53.15,-70.9167,48.31,57,75,12.66,CL
107,port augusta,-32.5,137.7667,67.26,63,3,3.18,AU
108,avarua,-21.2078,-159.775,84.25,70,75,11.5,CK
109,ust-barguzin,53.45,108.9833,18.95,83,100,2.95,RU
110,butaritari,3.0707,172.7902,80.94,78,100,7.23,KI
111,sibolga,1.7427,98.7792,74.71,91,100,1.72,ID
112,almunecar,36.7339,-3.6907,58.69,76,99,1.05,ES
113,padang,-0.9492,100.3543,77.05,86,77,4.9,ID
114,ust-kuyga,70.0167,135.6,-7.24,99,100,4.94,RU
115,pisco,-13.7,-76.2167,77.05,78,0,10.36,PE
116,san cristobal,7.7669,-72.225,80.78,57,88,5.55,VE
117,palkonda,18.6,83.75,72.84,52,0,2.53,IN
118,coihaique,-45.5752,-72.0662,52.41,76,100,2.3,CL
119,isabela,6.7085,121.9711,76.98,78,87,2.89,PH
120,mnogovershinnyy,53.9353,139.9242,12.76,90,100,6.64,RU
121,ha giang,22.8333,104.9833,64.27,89,99,0.98,VN
122,muroto,33.2833,134.15,51.49,64,99,12.8,JP
123,hasaki,35.7333,140.8333,44.22,63,100,17.74,JP
124,saint-joseph,-21.3667,55.6167,75.58,87,100,3.13,RE
125,bath,51.3779,-2.3591,40.75,74,43,4.41,GB
126,kavaratti,10.5669,72.642,81.99,57,0,3.0,IN
127,rawson,-43.3002,-65.1023,79.72,18,35,12.55,AR
128,atuona,-9.8,-139.0333,79.93,80,14,14.43,PF
129,nemuro,43.3236,145.575,25.05,86,8,11.86,JP
130,airai,-8.9266,125.4092,58.59,92,100,2.86,TL
131,hamilton,39.1834,-84.5333,57.43,44,0,4.0,US
132,saint george,37.1041,-113.5841,47.43,50,75,3.44,US
133,tighina,46.8306,29.4711,43.57,64,5,7.92,MD
134,bengkulu,-3.8004,102.2655,73.62,89,100,3.71,ID
135,portland,45.5234,-122.6762,46.62,78,100,16.11,US
136,bluff,-46.6,168.3333,48.79,65,79,7.61,NZ
137,bonthe,7.5264,-12.505,78.84,85,20,8.93,SL
138,upernavik,72.7868,-56.1549,10.24,80,99,8.08,GL
139,cidreira,-30.1811,-50.2056,75.94,86,87,6.64,BR
140,clyde river,70.4692,-68.5914,1.63,60,100,8.05,CA
141,aswan,24.0934,32.907,85.3,16,0,4.61,EG
142,ramshir,30.8946,49.4092,67.75,31,0,5.53,IR
143,sorkjosen,69.8,20.9333,21.2,93,100,1.14,NO
144,dongsheng,39.8161,109.9776,35.19,28,3,9.15,CN
145,langham,52.3668,-106.9679,17.44,87,100,6.15,CA
146,tikapur,28.5,81.1333,63.36,35,0,2.73,NP
147,aguimes,27.9054,-15.4461,63.66,77,20,16.11,ES
148,hobyo,5.3505,48.5268,78.12,78,71,17.76,SO
149,vardo,70.3705,31.1107,28.38,86,100,4.61,NO
150,hirara,24.8,125.2833,65.68,59,91,17.11,JP
151,balabac,7.9868,117.0645,78.48,80,100,13.85,PH
152,belmonte,-15.8631,-38.8828,80.94,69,3,9.37,BR
153,sharjah,25.3573,55.4033,75.18,68,20,9.22,AE
154,port-cartier,50.0334,-66.8654,26.82,72,85,3.74,CA
155,shieli,44.1667,66.75,46.74,57,100,6.91,KZ
156,ust-karsk,52.7011,118.8077,15.22,94,55,4.05,RU
157,hithadhoo,-0.6,73.0833,82.02,73,55,6.06,MV
158,seymchan,62.8833,152.4333,-43.98,100,84,0.74,RU
159,mathbaria,22.2876,89.9593,72.34,43,0,4.85,BD
160,auki,-8.7676,160.7034,78.4,84,100,9.35,SB
161,arraial do cabo,-22.9661,-42.0278,87.76,58,0,19.57,BR
162,caazapa,-26.15,-56.4,82.92,59,87,3.94,PY
163,araouane,18.9048,-3.5265,81.14,9,73,8.46,ML
164,jijiga,9.35,42.8,66.18,50,47,7.18,ET
165,longyearbyen,78.2186,15.6401,6.64,56,75,19.57,SJ
166,calderitas,18.55,-88.25,86.11,66,40,14.97,MX
167,norman wells,65.282,-126.8329,-16.56,69,20,13.8,CA
168,victoria,22.2855,114.1577,64.45,78,0,11.01,HK
169,ambon,-3.6954,128.1814,77.23,15,40,6.91,ID
170,fort nelson,58.8053,-122.7002,4.95,49,20,13.8,CA
171,anaconda,46.1285,-112.9423,28.04,69,100,4.47,US
172,ocos,14.5094,-92.1933,83.59,62,5,14.83,GT
173,whitehaven,54.549,-3.5841,36.86,81,98,2.62,GB
174,mucuri,-18.0864,-39.5508,80.22,71,63,9.78,BR
175,esperance,-33.8667,121.9,65.43,64,96,17.09,AU
176,kapaa,22.0752,-159.319,76.98,80,20,12.66,US
177,valparaiso,-33.0393,-71.6273,68.23,69,75,12.66,CL
178,abomey-calavi,6.4485,2.3557,84.06,79,40,4.61,BJ
179,mpanda,-6.3655,31.0409,66.09,95,99,3.2,TZ
180,mildura,-34.2,142.15,64.31,46,0,4.97,AU
181,hervey bay,-25.2986,152.8535,73.27,78,55,11.27,AU
182,tupik,54.4253,119.9327,19.24,85,97,6.82,RU
183,chapais,49.7834,-74.8492,28.18,77,100,3.2,CA
184,nouadhibou,20.931,-17.0347,73.38,56,0,13.8,MR
185,shenkursk,62.1091,42.896,6.04,98,84,5.28,RU
186,narsaq,60.9167,-46.05,50.22,90,37,4.25,GL
187,profitis,40.6875,23.2775,52.29,93,100,3.29,GR
188,kieta,-6.2167,155.6333,76.15,88,100,6.46,PG
189,tulagi,-9.0996,160.1476,81.45,75,100,15.84,SB
190,buala,-8.145,159.5921,78.48,82,100,7.81,SB
191,ati,13.2154,18.3353,86.7,10,100,10.29,TD
192,shingu,33.7333,135.9833,44.55,61,100,5.17,JP
193,santa rosa,14.3122,121.1114,75.18,79,7,10.2,PH
194,caxito,-8.5785,13.6643,75.85,83,100,1.95,AO
195,korla,41.7597,86.1469,40.66,50,26,1.14,CN
196,mujiayingzi,42.1167,118.7833,34.68,38,0,7.02,CN
197,husavik,66.0449,-17.3389,33.98,89,100,7.14,IS
198,necochea,-38.5473,-58.7368,68.72,39,4,13.56,AR
199,kondagaon,19.6,81.6667,66.24,27,0,1.9,IN
200,toora-khem,52.4675,96.11,16.74,97,100,2.89,RU
201,gorele,41.0308,39.0031,49.26,92,100,6.67,TR
202,port hedland,-20.3167,118.5667,80.65,74,100,6.91,AU
203,puerto ayora,-0.7393,-90.3518,84.16,86,62,8.01,EC
204,verkhnevilyuysk,63.4453,120.3167,8.98,92,96,8.52,RU
205,vestmannaeyjar,63.4427,-20.2734,40.12,82,99,11.43,IS
206,batagay-alyta,67.8006,130.4114,-13.2,92,100,3.47,RU
207,malanje,-9.5402,16.341,66.97,75,99,3.51,AO
208,faya,18.3851,42.4509,60.91,55,39,3.85,SA
209,saint anthony,45.0205,-93.218,38.14,66,100,9.22,US
210,saint-marc,19.1082,-72.6938,82.35,58,2,10.07,HT
211,nybro,56.7446,15.9071,32.05,48,0,9.69,SE
212,champerico,14.3,-91.9167,95.54,62,5,14.23,GT
213,smithers,54.7804,-127.1743,21.52,73,75,2.3,CA
214,nanortalik,60.1432,-45.2371,38.19,85,88,17.6,GL
215,margate,51.3813,1.3862,43.9,82,100,13.15,GB
216,ulaanbaatar,47.9077,106.8832,23.13,68,0,4.47,MN
217,omsukchan,62.5333,155.8,-37.05,98,65,6.22,RU
218,alekseyevsk,57.8406,108.3492,17.92,87,100,13.15,RU
219,chauk,20.8833,94.8167,75.25,24,0,4.38,MM
220,chapleau,47.8405,-83.4034,39.29,52,20,8.05,CA
221,mumford,5.2618,-0.759,81.66,82,66,7.92,GH
222,pauini,-7.7136,-66.9764,84.36,83,98,1.63,BR
223,bereda,43.2686,-7.5406,39.15,95,0,2.91,ES
224,monrovia,6.3005,-10.7969,82.17,85,9,7.61,LR
225,najran,17.4924,44.1277,75.85,28,96,7.92,SA
226,moose factory,51.2585,-80.6094,39.2,60,100,10.36,CA
227,provideniya,64.3833,-173.3,17.33,95,100,7.49,RU
228,san patricio,28.017,-97.5169,81.32,33,0,11.65,US
229,labuhan,-6.8844,112.2051,76.53,86,97,8.66,ID
230,alofi,-19.0595,-169.9187,80.49,94,99,5.75,NU
231,sayyan,15.1718,44.3244,59.72,37,100,12.95,YE
232,lukovetskiy,64.2956,41.9211,-2.47,100,64,4.34,RU
233,tiksi,71.6872,128.8694,-1.08,100,100,1.43,RU
234,apastovo,55.2029,48.5109,16.83,99,92,5.5,RU
235,plettenberg bay,-34.0527,23.3716,67.57,92,100,8.12,ZA
236,henties bay,-22.116,14.2845,64.53,78,0,8.08,NA
237,aklavik,68.2191,-135.0107,-23.8,76,20,3.44,CA
238,am timan,11.0297,20.2827,89.06,11,71,6.96,TD
239,marsh harbour,26.5412,-77.0636,79.23,69,100,10.04,BS
240,georgetown,5.4112,100.3354,78.73,83,20,8.05,MY
241,warrnambool,-38.3833,142.4833,57.36,87,19,5.5,AU
242,east london,-33.0153,27.9116,73.33,87,38,5.77,ZA
243,colares,38.7992,-9.4469,55.76,71,0,17.0,PT
244,dhule,20.9,74.7833,84.85,28,50,5.44,IN
245,broome,42.2506,-75.833,37.45,77,100,17.27,US
246,touros,-5.1989,-35.4608,81.91,72,86,14.83,BR
247,gizo,-8.103,156.8419,82.47,73,90,15.52,SB
248,lavrentiya,65.5833,-171.0,7.61,95,100,10.83,RU
249,awbari,26.5921,12.7805,65.03,28,14,7.65,LY
250,astoria,46.1879,-123.8313,43.56,86,100,9.22,US
251,meulaboh,4.1363,96.1285,75.0,88,79,4.68,ID
252,muros,42.7762,-9.0603,51.1,72,0,2.35,ES
253,oudtshoorn,-33.5907,22.2014,64.76,84,79,7.07,ZA
254,lagoa,39.05,-27.9833,57.97,69,100,16.49,PT
255,nuuk,64.1835,-51.7216,41.61,70,75,2.3,GL
256,oyama,36.3,139.8,49.59,45,100,3.11,JP
257,vilyuysk,63.7553,121.6247,4.77,96,80,8.03,RU
258,macapa,0.0389,-51.0664,82.38,83,75,5.75,BR
259,manoel urbano,-8.8389,-69.2597,84.49,77,99,2.46,BR
260,tamandare,-8.7597,-35.1047,82.24,69,6,8.25,BR
261,chokurdakh,70.6333,147.9167,-35.07,96,15,6.53,RU
262,coahuayana,18.7333,-103.6833,86.81,43,56,8.01,MX
263,elko,41.0002,-115.5012,37.22,52,100,5.01,US
264,lata,40.1629,-8.3327,54.81,72,100,1.36,PT
265,khorramshahr,30.4397,48.1664,64.36,72,0,6.91,IR
266,atar,20.5169,-13.0499,79.18,18,3,9.98,MR
267,guadix,37.2993,-3.1392,48.13,26,96,2.13,ES
268,svetlaya,46.5389,138.3297,27.12,74,2,6.6,RU
269,vostok,46.4856,135.8833,11.25,91,7,6.11,RU
270,kurumkan,54.3,110.3,16.79,80,38,9.33,RU
271,odesskoye,54.2111,72.9651,18.97,94,100,10.22,RU
272,ayan,56.45,138.1667,3.56,95,100,4.56,RU
273,fukue,32.6881,128.8419,53.8,63,4,18.43,JP
274,fortuna,40.5982,-124.1573,45.66,96,75,5.01,US
275,letlhakeng,-24.0944,25.0298,77.43,36,14,4.14,BW
276,jumla,29.2747,82.1838,40.69,71,1,4.41,NP
277,marsa matruh,31.3525,27.2453,64.6,77,0,11.5,EG
278,ostrovnoy,68.0531,39.5131,10.62,90,100,7.99,RU
279,saskylakh,71.9167,114.0833,-22.47,100,95,3.0,RU
280,mardin,37.3131,40.7436,49.32,61,100,3.6,TR
281,bouca,6.5105,18.2733,85.82,32,92,2.44,CF
282,lask,51.5906,19.1328,32.43,74,65,3.0,PL
